Epoch,Train_mIoU,Val_mIoU
1,0.08380476498807019,0.07808669097721577
2,0.26367360680279406,0.32323486693203446
3,0.39156952877767087,0.38723030603335545
4,0.4559537925672142,0.44302478096991155
5,0.47332416899675583,0.4430351581424475
6,0.47430474423824565,0.44607548830875504
7,0.4798600610569999,0.46137806234534456
8,0.48041445188513204,0.4699529806772868
9,0.4873293599915129,0.4652965943018595
10,0.4876947161536733,0.46788028875986737
11,0.4975599458876433,0.47135897477467853
12,0.4959896629491389,0.4688151468957585
13,0.4978922484099465,0.45920788049697875
14,0.4908904214824153,0.4671447674367906
15,0.5017275711246756,0.46659728994903465
16,0.5008482405401249,0.46737026150367456
17,0.4987177677172853,0.4635422427931189
18,0.505097178397806,0.4904084990421931
19,0.5140143660910491,0.47988730107899746
20,0.5349059398201379,0.48765345389644305
21,0.5372517308002485,0.472364037551597
22,0.5557469619294683,0.4933561571446868
23,0.586963663550771,0.5278129647175471
24,0.5927030830898068,0.5275021851062774
25,0.5896243700588293,0.5419109304745992
26,0.6544021160765128,0.5751405954360962
27,0.7086400981653821,0.6209616050124168
28,0.7258217109875246,0.662558854619662
29,0.7715865005146373,0.6688145389159521
30,0.7851520001888276,0.6794122497240703
31,0.8143191895701668,0.6802009463310242
32,0.8295592291788623,0.6881831874450048
33,0.8531766845421359,0.6959116160869598
34,0.8685000950639896,0.7126278638839721
35,0.8713485752994362,0.7075532952944438
36,0.8791199079968712,0.7211331605911254
37,0.8948425070805984,0.7098217050234478
38,0.8869600306857717,0.6983080347379049
39,0.8924987408247861,0.7484598259131113
40,0.9043024588714946,0.7364926636219025
41,0.8998527537692674,0.7200219074885051
42,0.9035983399911358,0.7132099131743113
43,0.9076599803837863,0.7055325269699096
44,0.9074763731522996,0.7314030607541402
45,0.9100471485744822,0.7119030594825745
46,0.9084522697058591,0.7203637460867564
47,0.915606820041483,0.7223831752936046
48,0.9104707479476926,0.7250537236531575
49,0.9149602001363583,0.7374894281228382
50,0.9150070949034258,0.735341207186381
51,0.9224261701107026,0.7268714050451913
52,0.9154224439100787,0.7275391419728597
53,0.9151566667990252,0.7346985141436259
54,0.9214796944098037,0.7250859121481578
55,0.9240085076202046,0.7260622719923656
56,0.9288765089078385,0.7351856311162313
57,0.9164832776243035,0.7384808619817097
58,0.9284044504165649,0.7399969021479289
59,0.9231760826977816,0.7413973351319632
60,0.9192387626929716,0.7292863170305887
61,0.9254092931747434,0.7407648523648579
62,0.9262401700019837,0.7390887379646301
63,0.9266126844015988,0.7410752356052398
64,0.9262687607245013,0.740710445245107
65,0.9282423133199863,0.7394506196180979
66,0.9246362864971164,0.7394142727057139
67,0.9277674390511078,0.7372363924980164
68,0.9296204274350951,0.7374387164910634
69,0.9295379611578857,0.736145395040512
70,0.9317689380862496,0.7363205810387928
71,0.9269323213533922,0.7364569365978242
72,0.9318979306654497,0.7341331640879313
73,0.9269881096753206,0.736048815647761
74,0.9342416096817363,0.7373572786649069
75,0.9288440265438772,0.734031957387924
76,0.9362624390558764,0.7331435759862264
77,0.9287991865114733,0.733143432935079
78,0.9356625670736487,0.7338623046875
79,0.9341500688682903,0.7341305752595266
80,0.9307722590186379,0.7349169532457988
